text,date,user.username
Contractors wanted for £800m highways deal dlvr.it/T6JKZ0,"May 2, 2024 · 7:19 AM UTC",@ConstructionEnq
Turkish insulation panel maker to build £45m UK factory dlvr.it/T6JFvW,"May 2, 2024 · 6:39 AM UTC",@ConstructionEnq
Galliford Try names group head of infrastructure dlvr.it/T6JF1c,"May 2, 2024 · 6:30 AM UTC",@ConstructionEnq
Trio of new products from Altrad RMD Kwikform dlvr.it/T6Gs7L,"May 1, 2024 · 3:33 PM UTC",@ConstructionEnq
text,date,user.username
"Gain innovative ideas from across the industry and influence your supply chain in a collaborative effort to reduce carbon throughout the design, build and management of assets. Secure your place on 16-17 July https://bit.ly/3IY97gN","Jun 12, 2024 · 11:00 AM UTC",@CNplus
Not long left until entries to the #CNWorkforce Awards 2024 ends 21 June. Don't miss out on this incredible opportunity to showcase and celebrate the people behind the projects of your workforce organisation. Enter now: https://bit.ly/4cVKjn5,"Jun 11, 2024 · 7:00 AM UTC",@CNplus
"Join us to discover the latest trends, the developments shaping the sector and the challenges that the sector needs to overcome to meet demand and deliver the next generation of science and research real estate. Find out more: https://bit.ly/3PrzQFV","Jun 7, 2024 · 7:00 AM UTC",@CNplus
"🚀 Less than a month to go! Craft your TechFest entry with a compelling story: 🌟 Begin with your innovation’s spark🔍 Detail its standout implementation, and 🏆 Share the impactful results. Remember, clarity and preparation are key! #TechFestTips https://techfest.newcivilengineer.com/techfest2024/en/page/awards#hints-and-tips","Jun 6, 2024 · 7:20 AM UTC",@CNplus
"⏰TWO WEEKS LEFT TO ENTER #CNWorkforce Awards 2024  Celebrate success across your business and project teams, reward outstanding work and boost team morale by entering in one or multiple category.  Entries close 21 June 2024 so make a start today! https://bit.ly/4cVKjn5","Jun 5, 2024 · 11:00 AM UTC",@CNplus
🚀 Propel your brand to the forefront of the construction & engineering world by sponsoring the TechFest Awards. Connect with industry leaders and showcase your innovations. #TechFestSponsor #BuildTheFuture watch the video to hear from last year's sponsors https://www.youtube.com/watch?v=24syOH4Kg8s,"Jun 4, 2024 · 12:00 PM UTC",@CNplus
"Join your peers in celebrating the very best in the industry recognising and rewarding the People, Pride and Passion within construction. Be part of the celebration and book your place today https://bit.ly/3VcuL8d","Jun 4, 2024 · 7:00 AM UTC",@CNplus
"Gain practical insights into biodiversity net gain, retrofit solutions, and circular economy principles, empowering you to lead your organisation towards net-zero carbon goals with CN Decarbonising Construction virtual conference on 16-17 July https://bit.ly/3IY97gN","Jun 3, 2024 · 11:00 AM UTC",@CNplus
Elevate your organisation's profile and showcase your workforce talent by entering the #CNWorkforce Awards 2024. Celebrating the people behind the projects and submit your entry by Friday 21 June https://bit.ly/4cVKjn5 #constructionnews #innovation #initiatives,"May 31, 2024 · 3:02 PM UTC",@CNplus
"Join Construction News and  HSO, for a free webinar to discover how a partnership with Microsoft can ensure you have a 360-degree of your business, all while driving efficiency levels and collaboration across your firm  Register today: https://ow.ly/kWzs50S1Sri","May 31, 2024 · 2:00 PM UTC",@CNplus
🌟 Dive into a world of ingenuity! Explore last year’s TechFest Award nominees and get your creative gears turning. Click Find out more. Nominate yourselves or your colleagues #Innovation #Engineering #Construction #Tech https://techfest.newcivilengineer.com/techfest2024/en/page/2023-winners,"May 30, 2024 · 7:00 AM UTC",@CNplus
"Lendlease Group is confident of selling its UK operation by the end of next year, it said today after announcing it was withdrawing from construction markets outside of Australia. https://www.constructionnews.co.uk/contractors/lendlease/lendlease-to-pull-out-of-uk-construction-market-28-05-2024/ #building #construction #news","May 28, 2024 · 12:59 PM UTC",@CNplus
"Hear Ben Vogel, Charles Pacey, senior associate in Mayer Brown’s construction team and Sasha Pirbhai, partner in the construction team at Devonshires dive into the new Joint Contracts Tribunal suite, in particular the Design and Build family.    Listen now https://ow.ly/nX6j50RQO9n","May 28, 2024 · 11:00 AM UTC",@CNplus
A senior executive at construction firm Mace is looking to swap construction for legislation by standing as a Labour candidate in the forthcoming UK general election.  https://www.constructionnews.co.uk/government/mace-director-launches-bid-to-become-labour-mp-24-05-2024/,"May 24, 2024 · 12:15 PM UTC",@CNplus
🚀Elevate your company’s profile and attract top talent by entering the #TechFest2024 Awards. Show the world you’re at the forefront of tech innovation in the built environment. Watch highlights from last year's event for inspiration #TechTalent https://www.youtube.com/watch?v=VFCiznC-AP8&t,"May 23, 2024 · 5:01 PM UTC",@CNplus
